oblast,week_ending,total_damaged_buildings
Zaporizka,2024-11-24,7
Cherkaska,2024-11-17,2
Dnipropetrovska,2024-11-17,35
Donetska,2024-11-17,37
Kharkivska,2024-11-17,16
Khersonska,2024-11-17,17
Kyiv,2024-11-17,1
Kyivska,2024-11-17,8
Lvivska,2024-11-17,1
Mykolaivska,2024-11-17,12
Odeska,2024-11-17,36
Poltavska,2024-11-17,1
Rivnenska,2024-11-17,2
Sumska,2024-11-17,5
Vinnytska,2024-11-17,2
Volynska,2024-11-17,1
Zaporizka,2024-11-17,8
Dnipropetrovska,2024-11-10,8
Donetska,2024-11-10,9
Kharkivska,2024-11-10,39
Khersonska,2024-11-10,10
Kyiv,2024-11-10,11
Kyivska,2024-11-10,4
Mykolaivska,2024-11-10,1
Odeska,2024-11-10,26
Rivnenska,2024-11-10,1
Sumska,2024-11-10,14
Zaporizka,2024-11-10,2
Zhytomyrska,2024-11-10,1
Cherkaska,2024-11-03,4
Dnipropetrovska,2024-11-03,41
Donetska,2024-11-03,19
Kharkivska,2024-11-03,58
Khersonska,2024-11-03,32
Khmelnytska,2024-11-03,1
Kyiv,2024-11-03,20
Kyivska,2024-11-03,8
Mykolaivska,2024-11-03,1
Odeska,2024-11-03,4
Sumska,2024-11-03,22
Zaporizka,2024-11-03,2
Cherkaska,2024-10-27,4
Dnipropetrovska,2024-10-27,65
Donetska,2024-10-27,36
Kharkivska,2024-10-27,26
Khersonska,2024-10-27,23
Khmelnytska,2024-10-27,9
Kyiv,2024-10-27,1
Kyivska,2024-10-27,14
Odeska,2024-10-27,2
Sumska,2024-10-27,11
Zaporizka,2024-10-27,5
Cherkaska,2024-10-20,3
Chernihivska,2024-10-20,2
Dnipropetrovska,2024-10-20,34
Donetska,2024-10-20,25
Kharkivska,2024-10-20,12
Khersonska,2024-10-20,21
Kirovohradska,2024-10-20,1
Kyiv,2024-10-20,2
Kyivska,2024-10-20,1
Mykolaivska,2024-10-20,21
Odeska,2024-10-20,7
Sumska,2024-10-20,21
Ternopilska,2024-10-20,1
Zaporizka,2024-10-20,3
Autonomous Republic of Crimea,2024-10-13,1
Cherkaska,2024-10-13,1
Dnipropetrovska,2024-10-13,9
Donetska,2024-10-13,23
Kharkivska,2024-10-13,12
Khersonska,2024-10-13,31
Kyiv,2024-10-13,1
Kyivska,2024-10-13,1
Luhanska,2024-10-13,1
Mykolaivska,2024-10-13,5
Odeska,2024-10-13,5
Poltavska,2024-10-13,1
Sumska,2024-10-13,15
Zaporizka,2024-10-13,7
Cherkaska,2024-10-06,1
Chernihivska,2024-10-06,1
Dnipropetrovska,2024-10-06,31
Donetska,2024-10-06,81
Kharkivska,2024-10-06,16
Khersonska,2024-10-06,16
Kirovohradska,2024-10-06,2
Kyivska,2024-10-06,1
Odeska,2024-10-06,5
Poltavska,2024-10-06,6
Sumska,2024-10-06,7
Cherkaska,2024-09-29,1
Dnipropetrovska,2024-09-29,39
Donetska,2024-09-29,152
Kharkivska,2024-09-29,35
Khersonska,2024-09-29,28
Kyivska,2024-09-29,2
Mykolaivska,2024-09-29,2
Odeska,2024-09-29,1
Rivnenska,2024-09-29,1
Sumska,2024-09-29,14
Zaporizka,2024-09-29,8
Cherkaska,2024-09-22,2
Chernihivska,2024-09-22,2
Dnipropetrovska,2024-09-22,27
Donetska,2024-09-22,53
Kharkivska,2024-09-22,29
Khersonska,2024-09-22,19
Lvivska,2024-09-22,1
Mykolaivska,2024-09-22,3
Odeska,2024-09-22,1
Poltavska,2024-09-22,1
Sumska,2024-09-22,22
Zaporizka,2024-09-22,6
Cherkaska,2024-09-15,4
Chernihivska,2024-09-15,2
Dnipropetrovska,2024-09-15,18
Donetska,2024-09-15,34
Ivano-Frankivska,2024-09-15,1
Kharkivska,2024-09-15,13
Khersonska,2024-09-15,8
Khmelnytska,2024-09-15,1
Mykolaivska,2024-09-15,2
Odeska,2024-09-15,2
Sumska,2024-09-15,19
Zaporizka,2024-09-15,1
Dnipropetrovska,2024-09-08,74
Donetska,2024-09-08,15
Kharkivska,2024-09-08,15
Khersonska,2024-09-08,7
Kyiv,2024-09-08,13
Lvivska,2024-09-08,14
Odeska,2024-09-08,1
Poltavska,2024-09-08,4
Sumska,2024-09-08,6
Zaporizka,2024-09-08,2
Autonomous Republic of Crimea,2024-09-01,1
Cherkaska,2024-09-01,3
Chernihivska,2024-09-01,1
Dnipropetrovska,2024-09-01,26
Donetska,2024-09-01,12
Ivano-Frankivska,2024-09-01,1
Kharkivska,2024-09-01,29
Khersonska,2024-09-01,9
Khmelnytska,2024-09-01,1
Kyiv,2024-09-01,1
Kyivska,2024-09-01,3
Lvivska,2024-09-01,1
Odeska,2024-09-01,1
Poltavska,2024-09-01,2
Rivnenska,2024-09-01,3
Sumska,2024-09-01,14
Vinnytska,2024-09-01,2
Volynska,2024-09-01,1
Zaporizka,2024-09-01,1
Cherkaska,2024-08-25,2
Dnipropetrovska,2024-08-25,15
Donetska,2024-08-25,17
Kharkivska,2024-08-25,7
Khersonska,2024-08-25,5
Kyivska,2024-08-25,1
Sumska,2024-08-25,6
Ternopilska,2024-08-25,1
Zaporizka,2024-08-25,3
Autonomous Republic of Crimea,2024-08-18,1
Chernihivska,2024-08-18,2
Dnipropetrovska,2024-08-18,14
Donetska,2024-08-18,9
Kharkivska,2024-08-18,18
Khersonska,2024-08-18,2
Kyivska,2024-08-18,2
Odeska,2024-08-18,1
Sumska,2024-08-18,8
Zaporizka,2024-08-18,1
Autonomous Republic of Crimea,2024-08-11,1
Dnipropetrovska,2024-08-11,32
Donetska,2024-08-11,37
Kharkivska,2024-08-11,6
Khersonska,2024-08-11,3
Khmelnytska,2024-08-11,1
Kyiv,2024-08-11,1
Kyivska,2024-08-11,4
Mykolaivska,2024-08-11,3
Sumska,2024-08-11,1
Zaporizka,2024-08-11,1
Dnipropetrovska,2024-08-04,22
Donetska,2024-08-04,27
Kharkivska,2024-08-04,3
Khersonska,2024-08-04,7
Kyivska,2024-08-04,2
Poltavska,2024-08-04,1
Sevastopol,2024-08-04,1
Sumska,2024-08-04,2
Zaporizka,2024-08-04,1
Chernihivska,2024-07-28,3
Dnipropetrovska,2024-07-28,26
Donetska,2024-07-28,14
Kharkivska,2024-07-28,12
Khersonska,2024-07-28,13
Kyivska,2024-07-28,2
Odeska,2024-07-28,3
Poltavska,2024-07-28,1
Sumska,2024-07-28,2
Dnipropetrovska,2024-07-21,14
Donetska,2024-07-21,12
Kharkivska,2024-07-21,11
Khersonska,2024-07-21,11
Mykolaivska,2024-07-21,1
Sumska,2024-07-21,5
Dnipropetrovska,2024-07-14,5
Donetska,2024-07-14,9
Kharkivska,2024-07-14,4
Khersonska,2024-07-14,10
Kyiv,2024-07-14,4
Mykolaivska,2024-07-14,3
Odeska,2024-07-14,1
Rivnenska,2024-07-14,1
Sumska,2024-07-14,2
Zaporizka,2024-07-14,6
Chernihivska,2024-07-07,2
Dnipropetrovska,2024-07-07,37
Donetska,2024-07-07,24
Kharkivska,2024-07-07,8
Khersonska,2024-07-07,11
Luhanska,2024-07-07,1
Odeska,2024-07-07,1
Poltavska,2024-07-07,4
Sumska,2024-07-07,1
Zaporizka,2024-07-07,2
Chernihivska,2024-06-30,3
Dnipropetrovska,2024-06-30,12
Donetska,2024-06-30,12
Kharkivska,2024-06-30,20
Khersonska,2024-06-30,3
Kyivska,2024-06-30,3
Odeska,2024-06-30,3
Sumska,2024-06-30,1
Zaporizka,2024-06-30,12
Chernihivska,2024-06-23,1
Dnipropetrovska,2024-06-23,25
Donetska,2024-06-23,14
Ivano-Frankivska,2024-06-23,3
Kharkivska,2024-06-23,17
Khersonska,2024-06-23,17
Kyivska,2024-06-23,1
