damage_id,iso3,country,gid_1,oblast,rayon,type_of_infrastructure,if_other_what,date_of_event,source_name,source_date,source_link,additional_sources,extent_of_damage,_internal_filter_date,_weights,access_subindicator,pcode
D19837,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Government facilities,,2025-02-13,Suspilne,2025-02-14,https://suspilne.media/donbas/947893-golovni-novini-doneckoi-ta-luganskoi-oblastej-podii-14-lutogo/,,Partially damaged,2025-02-13,0.7,['7.2'],UA14
D19838,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Industrial/Business/Enterprise facilities,,2025-02-13,Suspilne,2025-02-14,https://suspilne.media/donbas/947893-golovni-novini-doneckoi-ta-luganskoi-oblastej-podii-14-lutogo/,,Partially damaged,2025-02-13,0.7,['7.2'],UA14
D19840,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Electricity supply system,,2025-02-13,Suspilne,2025-02-14,https://suspilne.media/donbas/947893-golovni-novini-doneckoi-ta-luganskoi-oblastej-podii-14-lutogo/,,Partially damaged,2025-02-13,0.7,['7.2'],UA14
D19841,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Electricity supply system,,2025-02-13,Suspilne,2025-02-14,https://suspilne.media/donbas/947893-golovni-novini-doneckoi-ta-luganskoi-oblastej-podii-14-lutogo/,,Partially damaged,2025-02-13,0.7,['7.2'],UA14
D19842,UKR,Ukraine,['UKR.8_1'],Kharkivska,Bohodukhivskyi,Gas supply system,,2025-02-14,Kharkiv regional military administration,2025-02-15,https://kharkivoda.gov.ua/news/130378,,Partially damaged,2025-02-14,0.7,['7.2'],UA63
D19843,UKR,Ukraine,['UKR.9_1'],Khersonska,,Warehouse,,2025-02-14,Hromadske radio,2025-02-15,https://hromadske.radio/news/2025/02/15/na-khersonshchyni-rosiiany-za-dobu-vbyly-odnu-liudynu-shche-10-poraneni,,Partially damaged,2025-02-14,1.0,['7.2'],UA65
D19844,UKR,Ukraine,['UKR.5_1'],Dnipropetrovska,Nikopolskyi,Government facilities,,2025-02-15,Suspilne,2025-02-15,https://suspilne.media/dnipro/949107-vijska-rf-z-gradu-obstrilali-nikopolsinu/,,Partially damaged,2025-02-15,0.7,['7.2'],UA12
D19845,UKR,Ukraine,['UKR.5_1'],Dnipropetrovska,Nikopolskyi,Industrial/Business/Enterprise facilities,,2025-02-15,Suspilne,2025-02-15,https://suspilne.media/dnipro/949107-vijska-rf-z-gradu-obstrilali-nikopolsinu/,,Partially damaged,2025-02-15,0.7,['7.2'],UA12
D19846,UKR,Ukraine,['UKR.5_1'],Dnipropetrovska,Nikopolskyi,Industrial/Business/Enterprise facilities,,2025-02-15,Suspilne,2025-02-15,https://suspilne.media/dnipro/949107-vijska-rf-z-gradu-obstrilali-nikopolsinu/,,Partially damaged,2025-02-15,0.7,['7.2'],UA12
D19847,UKR,Ukraine,['UKR.5_1'],Dnipropetrovska,Nikopolskyi,Electricity supply system,,2025-02-15,Suspilne,2025-02-15,https://suspilne.media/dnipro/949107-vijska-rf-z-gradu-obstrilali-nikopolsinu/,,Partially damaged,2025-02-15,0.7,['7.2'],UA12
D19848,UKR,Ukraine,['UKR.5_1'],Dnipropetrovska,Nikopolskyi,Gas supply system,,2025-02-15,Suspilne,2025-02-15,https://suspilne.media/dnipro/949107-vijska-rf-z-gradu-obstrilali-nikopolsinu/,,Partially damaged,2025-02-15,0.7,['7.2'],UA12
D19849,UKR,Ukraine,['UKR.16_1'],Mykolaivska,Mykolaivskyi,Agricultural facilities,,2025-02-15,Suspilne,2025-02-15,https://suspilne.media/mykolaiv/949139-poskodzeni-budivli-armia-rf-masovano-atakuvala-mikolaivsinu/,,Partially damaged,2025-02-15,0.7,['7.2'],UA48
D19850,UKR,Ukraine,['UKR.16_1'],Mykolaivska,Mykolaivskyi,"Education facility (school, etc.)",,2025-02-15,Suspilne,2025-02-15,https://suspilne.media/mykolaiv/949139-poskodzeni-budivli-armia-rf-masovano-atakuvala-mikolaivsinu/,,Partially damaged,2025-02-15,0.7,['7.2'],UA48
D19851,UKR,Ukraine,['UKR.16_1'],Mykolaivska,Mykolaivskyi,Heating and water facility,,2025-02-15,Suspilne,2025-02-15,https://suspilne.media/mykolaiv/949139-poskodzeni-budivli-armia-rf-masovano-atakuvala-mikolaivsinu/,,Partially damaged,2025-02-15,0.7,['7.2'],UA48
D19852,UKR,Ukraine,['UKR.16_1'],Mykolaivska,Mykolaivskyi,Water supply system,,2025-02-15,Suspilne,2025-02-15,https://suspilne.media/mykolaiv/949139-poskodzeni-budivli-armia-rf-masovano-atakuvala-mikolaivsinu/,,Partially damaged,2025-02-15,0.7,['7.2'],UA48
D19853,UKR,Ukraine,['UKR.16_1'],Mykolaivska,Mykolaivskyi,Government facilities,,2025-02-15,Suspilne,2025-02-15,https://suspilne.media/mykolaiv/949139-poskodzeni-budivli-armia-rf-masovano-atakuvala-mikolaivsinu/,,Partially damaged,2025-02-15,0.7,['7.2'],UA48
D19854,UKR,Ukraine,['UKR.16_1'],Mykolaivska,Mykolaivskyi,"Health facility (hospital, health clinic)",,2025-02-15,Suspilne,2025-02-15,https://suspilne.media/mykolaiv/949139-poskodzeni-budivli-armia-rf-masovano-atakuvala-mikolaivsinu/,,Partially damaged,2025-02-15,0.7,['7.2'],UA48
